"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MT-ATP6"	7.39283730180002e-58	-15.1766611738156	0.07	0.377	2.70585238083183e-53	"0"	"MT-ATP6"
"MT-CO3"	1.33995885098809e-52	-31.4113768747402	0.129	0.415	4.90438339050150e-48	"0"	"MT-CO3"
"MT-ND4"	1.15709212400015e-49	-17.0656942856947	0.087	0.365	4.23507288305294e-45	"0"	"MT-ND4"
"MT-CO2"	4.41378678836998e-47	-28.4683164003736	0.128	0.396	1.61549010241129e-42	"0"	"MT-CO2"
"MT-ND3"	4.91869078753467e-47	-21.4710755799868	0.081	0.349	1.80029001514556e-42	"0"	"MT-ND3"
"MT-ND1"	2.14895648507264e-44	-13.7879776951638	0.099	0.357	7.86539563101435e-40	"0"	"MT-ND1"
"MT-CYB"	1.44719895004943e-41	-10.5032403484925	0.086	0.334	5.2968928770759e-37	"0"	"MT-CYB"
"MT-ND2"	2.62003067679805e-41	-10.8319598244333	0.08	0.327	9.58957428014855e-37	"0"	"MT-ND2"
"PLCG2"	2.76073932939907e-38	-551.896146333256	0.67	0.765	1.01045820195336e-33	"0"	"PLCG2"
"LINC00632"	1.04583495070681e-30	-69.6262349606987	0.575	0.706	3.82786050308198e-26	"0"	"LINC00632"
"CSMD3"	1.24159428986293e-27	-34.6548155098806	0.014	0.176	4.54435926032730e-23	"0"	"CSMD3"
"MT-ND5"	1.36459117164939e-26	-1.47423118771482	0.035	0.204	4.99454014735393e-22	"0"	"MT-ND5"
"MT-CO1"	2.89110269324096e-25	-16.7375955887155	0.146	0.333	1.05817249675312e-20	"0"	"MT-CO1"
"ELMO1"	1.51899772055017e-24	-61.534676279542	0.101	0.283	5.55968355698568e-20	"0"	"ELMO1"
"AL627171.2"	2.63026653322145e-24	-8.6634248322588	0.029	0.182	9.62703853824382e-20	"0"	"AL627171.2"
"PHACTR1"	6.67470529053986e-24	-24.3419918032464	0.165	0.354	2.44300888339049e-19	"0"	"PHACTR1"
"AKAP6"	4.2423284792639e-22	-83.6336807560701	0.38	0.537	1.55273464669538e-17	"0"	"AKAP6"
"NLGN1"	1.71046257937147e-21	-132.024591211577	0.732	0.793	6.26046408675753e-17	"0"	"NLGN1"
"MT-ATP8"	6.65779408790869e-21	-0.696130809270276	0.013	0.14	2.43681921411546e-16	"0"	"MT-ATP8"
"TMEM108"	1.07451825246874e-20	-159.509962548013	0.08	0.234	3.93284425586083e-16	"0"	"TMEM108"
"EXOC4"	1.11647972017265e-20	-13.9716060697769	0.394	0.553	4.08642742380393e-16	"0"	"EXOC4"
"MTRNR2L12"	2.30713692746394e-20	-5.77178922603	0.049	0.192	8.44435186821078e-16	"0"	"MTRNR2L12"
"SRPK2"	2.34611433113519e-20	-101.832156013768	0.352	0.517	8.58701306338790e-16	"0"	"SRPK2"
"EEF1A1"	2.59177218124056e-20	-8.82805044569729	0.045	0.186	9.48614536055858e-16	"0"	"EEF1A1"
