"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"PLCG2"	1.6940225267961e-94	-552.435741643367	0.711	0.884	6.2002918503264e-90	"0"	"PLCG2"
"NLGN1"	1.98492709643504e-63	-130.73421145572	0.809	0.902	7.26503166566190e-59	"0"	"NLGN1"
"AUTS2"	1.1376142961078e-61	-155.715404493153	0.734	0.874	4.16378208518415e-57	"0"	"AUTS2"
"LINC00632"	6.02705516152170e-59	-69.1010735111879	0.63	0.794	2.20596245966856e-54	"0"	"LINC00632"
"ADGRB3"	1.03230856078665e-55	-165.829636852682	0.923	0.938	3.7783525633352e-51	"0"	"ADGRB3"
"MT-ATP6"	4.92765750400102e-55	-15.4959590035312	0.089	0.373	1.80357192303941e-50	"0"	"MT-ATP6"
"MT-CO3"	2.96161341713943e-54	-29.8383326868057	0.13	0.41	1.0839801268072e-49	"0"	"MT-CO3"
"TCF4"	7.8640320141472e-54	-40.5288397224239	0.615	0.8	2.87831435749802e-49	"0"	"TCF4"
"LRP1B"	1.47070601343519e-53	-163.089409247788	0.678	0.834	5.38293107977414e-49	"0"	"LRP1B"
"FTX"	2.51622567015811e-52	-118.213957958457	0.834	0.925	9.20963757534572e-48	"0"	"FTX"
"MAML2"	3.7716504445156e-52	-46.0859902077529	0.585	0.779	1.38046177919716e-47	"0"	"MAML2"
"FGF14"	1.87191159892676e-50	-245.151989594447	0.957	0.939	6.85138364323183e-46	"0"	"FGF14"
"KCND2"	9.97637892736189e-50	-207.659732468001	0.904	0.892	3.65145445120372e-45	"0"	"KCND2"
"AKT3"	2.44289675220818e-49	-62.3784625367403	0.684	0.842	8.94124640275714e-45	"0"	"AKT3"
"GPM6A"	2.45413529352179e-49	-99.8418790802557	0.632	0.789	8.98238058781910e-45	"0"	"GPM6A"
"MAGI2"	4.17259895608069e-49	-166.55160343195	0.56	0.759	1.52721294391509e-44	"0"	"MAGI2"
"NRXN1"	7.32856535886024e-49	-187.470546363171	0.955	0.927	2.68232820699644e-44	"0"	"NRXN1"
"MT-ND3"	5.07513950441377e-48	-21.8073210252105	0.091	0.35	1.85755181001048e-43	"0"	"MT-ND3"
"MT-ND4"	1.86108454309307e-47	-17.1507704067162	0.1	0.358	6.81175553617493e-43	"0"	"MT-ND4"
"ZBTB20"	2.24219719952545e-47	-307.00534079807	0.791	0.902	8.2066659699831e-43	"0"	"ZBTB20"
"MT-ND1"	1.14271937665151e-46	-14.1497816125029	0.102	0.359	4.18246719048218e-42	"0"	"MT-ND1"
"AKAP6"	4.48429080487684e-46	-84.0024719425193	0.427	0.651	1.64129527749297e-41	"0"	"AKAP6"
"GRIA4"	8.08037516946274e-46	-121.101456970299	0.668	0.808	2.95749811577506e-41	"0"	"GRIA4"
"ANK2"	1.31034488722736e-45	-149.951471706772	0.704	0.837	4.79599332174088e-41	"0"	"ANK2"
"SYT1"	1.74059568380826e-45	-109.461480676676	0.78	0.829	6.37075426230663e-41	"0"	"SYT1"
"MT-CO2"	2.64101855164344e-45	-28.6030695495866	0.144	0.392	9.66639200087015e-41	"0"	"MT-CO2"
"ADGRL3"	3.49805308702497e-45	-197.545084930608	0.473	0.689	1.28032241038201e-40	"0"	"ADGRL3"
"MT-ND2"	1.08521105476876e-44	-11.0101987750509	0.087	0.337	3.97198098155914e-40	"0"	"MT-ND2"
"NBEA"	3.55978748963652e-44	-60.2593444195482	0.656	0.806	1.30291781908186e-39	"0"	"NBEA"
"DTNA"	9.84547827535570e-44	-175.732273004279	0.553	0.726	3.60354350356294e-39	"0"	"DTNA"
"EXOC4"	1.36077401531693e-43	-14.5238962657867	0.444	0.675	4.9805689734615e-39	"0"	"EXOC4"
"MALAT1"	2.81687535069683e-43	-Inf	1	1	1.03100454710855e-38	"0"	"MALAT1"
"SSBP2"	3.99849040380456e-43	-109.538583847969	0.353	0.596	1.4634874726965e-38	"0"	"SSBP2"
"RERE"	9.65543536048594e-43	-40.9474932591133	0.694	0.83	3.53398589629146e-38	"0"	"RERE"
"NFIB"	1.51480668750242e-42	-205.769720317884	0.459	0.672	5.5443439569276e-38	"0"	"NFIB"
"PHACTR1"	1.54527366437659e-42	-24.8259709866577	0.173	0.439	5.65585613898474e-38	"0"	"PHACTR1"
"CTNND2"	6.91654681718494e-42	-91.3875739426814	0.706	0.815	2.53152530055786e-37	"0"	"CTNND2"
"PTPRD"	7.47950359902310e-42	-117.289233046711	0.704	0.815	2.73757311227844e-37	"0"	"PTPRD"
